Confident Matches (240),,,,,Need to be Checked (50),,,,,Not Likely (16),,,,,,
,,,,,,,,,,,,,,,5,Can't tell (type or different person?)
 William Kipkemoi Kisang’, Kisang Kipkemoi, 86, Likely Matches,,,,,,,,,,,,,
 William Kipkemoi Kisang, Kisang Kipkemoi, 86, Likely Matches,,,,,,,,,,,,,
 Man dago, Kiplagat Mandago, 84, Likely Matches,,,,,,,,,,,,,
  Lelegwe, Lelegwe Ltumbesi, 90, Likely Matches,,,,,,,,,,,,,
 Veronic a Maina, Veronica Nduati, 73, Likely Matches,,,,,,,,,,,,,
 Mwaru ma, Mwaruma M, 82, Likely Matches,,,,,,,,,,,,,
 Mungatana EGH, Mungatana Buya, 78, Likely Matches,,,,,,,,,,,,,
 Ve ronica Maina, Veronica Nduati, 73, Likely Matches,,,,,,,,,,,,,
    Lelegwe, Lelegwe Ltumbesi, 90, Likely Matches,,,,,,,,,,,,,
 Kath uri, Murungi Kathuri, 84, Likely Matches,,,,,,,,,,,,,
 Ole kina, Olekina Ledama, 79, Likely Matches,,,,,,,,,,,,,
  Khlawale, Khalwale Boni, 79, Likely Matches,,,,,,,,,,,,,
 Kis ang, Kisang Kipkemoi, 77, Likely Matches,,,,,,,,,,,,,
  Njeru, Nyamu Njeri, 72, Likely Matches,,,,,,,,,,,,,
 S ifuna, Sifuna Watenya, 77, Likely Matches,,,,,,,,,,,,,
  Beth Syengo, Beth Syengo, 100, Likely Matches,,,,,,,,,,,,,
 Dullo  and say, Dullo Adan, 67, Likely Matches,,,,,,,,,,,,,
 Wakili S igei, Wakili Sigei, 96, Likely Matches,,,,,,,,,,,,,
 Pr of Tom Ojienda SC, Tom Ojienda,90,Likely Matches,,,,,,,,,,,,,
 Waliki Sigei, Wakili Sigei, 83, Likely Matches,,,,,,,,,,,,,
 Beth S yengo, Beth Syengo, 96, Likely Matches,,,,,,,,,,,,,
 Munyi Mu ndigi, Munyi Mundigi, 96, Likely Matches,,,,,,,,,,,,,
 Beth Sye ngo, Beth Syengo, 96, Likely Matches,,,,,,,,,,,,,
 Crystal As ige, Crystal Asige, 96, Likely Matches,,,,,,,,,,,,,
 Ki nyua, Nderitu Kinyua, 83, Likely Matches,,,,,,,,,,,,,
 Wa kili Sigei, Wakili Sigei, 96, Likely Matches,,,,,,,,,,,,,
 Os otsi, Osotsi Atieno, 79, Likely Matches,,,,,,,,,,,,,
 Onyonk a, Onyonka Momoima, 86, Likely Matches,,,,,,,,,,,,,
  Leleg we Ltumbesi, Lelegwe Ltumbesi, 97, Likely Matches,,,,,,,,,,,,,
 C heptumo, Kipkiror Cheptumo, 85, Likely Matches,,,,,,,,,,,,,
 Maanz o, Maanzo Kitonga, 79, Likely Matches,,,,,,,,,,,,,
 Kat huri, Murungi Kathuri, 84, Likely Matches,,,,,,,,,,,,,
 Mung atana MGH, Mungatana Buya, 71, Likely Matches,,,,,,,,,,,,,
   Lelegwe Ltumbesi, Lelegwe Ltumbesi, 100, Likely Matches,,,,,,,,,,,,,
  Kkalwale, Khalwale Boni, 79, Likely Matches,,,,,,,,,,,,,
  Wambua, Wambua Kiio, 90, Likely Matches,,,,,,,,,,,,,
  Leleg we, Lelegwe Ltumbesi, 79, Likely Matches,,,,,,,,,,,,,
 Lome nen, Ekomwa Lomenen, 84, Likely Matches,,,,,,,,,,,,,
 Khalwale, Khalwale Boni, 90, Likely Matches,,,,,,,,,,,,,
 Manda go, Kiplagat Mandago, 84, Likely Matches,,,,,,,,,,,,,
 Murgo r, Recha Murgor, 83, Likely Matches,,,,,,,,,,,,,
 Chute Said Mohamed, Chute Said, 90, Likely Matches,,,,,,,,,,,,,
 Ali Roba My question is, Roba Ibrahim, 86, Likely Matches,,,,,,,,,,,,,
 Catherine Muyeka Mumma, Catherine Mumma, 95, Likely Matches,,,,,,,,,,,,,
 Beth Kalunda Syengo, Beth Syengo, 86, Likely Matches,,,,,,,,,,,,,
 Okiy a Omtatah, Okoiti Omtatah, 79, Likely Matches,,,,,,,,,,,,,
  Lelengwe Ltumbesi, Lelegwe Ltumbesi, 97, Likely Matches,,,,,,,,,,,,,
 Crystal Asig e, Crystal Asige, 96, Likely Matches,,,,,,,,,,,,,
  K halwale, Khalwale Boni, 73, Likely Matches,,,,,,,,,,,,,
 Chesang’, Chesang Kiprotich, 90, Likely Matches,,,,,,,,,,,,,
 Ki sang, Kisang Kipkemoi, 77, Likely Matches,,,,,,,,,,,,,
